Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Sebastian Nanasi,Malmö FF,Allsvenskan,1424,Attacking Midfielder,22,0.38,0.25,0.09,2.91,13,48,2,0.51,0.31,3.6,0.88,3.16,1.64,1.33,0.55,0.54,14.35,6.89,0.01,2.91,4.55,6.89,1.52,2.07,31,13,49.93,79,0.71,47.15,91,5.69,22,2.91,7.71,10.62,0.06,0.7,39,0.23,0.2,0.04,0.11,0.58
Anders Christiansen,Malmö FF,Allsvenskan,847,Attacking Midfielder,34,0.53,0.23,0.08,3.08,17,45,2,0.11,0.18,2.34,0.64,0.53,0.42,1.17,0.7,1.54,16.89,8.39,0.01,2.02,4.25,6.48,2.53,3.22,46,54,54.61,83,0.84,46.96,94,3.79,18.8,1.7,6.91,8.61,0.11,0.21,18,-0.01,0.08,0.01,-0.03,0.04
Lucas Bergvall,Djurgården,Allsvenskan,989,Attacking Midfielder,18,0.27,0.18,0.07,2.64,10,38,2,0.09,0.09,0.55,0.36,2.64,1.37,2.28,0.67,0.53,23.58,13.29,0.01,4.55,4.55,7.74,1.65,2.32,40,56,41.33,87,0.7,42.7,89,6.77,14.38,1.09,3.82,4.92,0.27,0.27,27,0.01,0.13,0.02,-0.06,0.1
Tokmac Nguen,Djurgården,Allsvenskan,1290,Attacking Midfielder,31,0.42,0.46,0.1,4.67,9,43,7,0.28,0.13,1.74,0.7,2.02,1.05,1.6,0.72,0.32,21.13,9.9,0.01,2.86,4.46,6.28,0.62,1.34,40,14,27.34,79,0.66,32.29,87,5.5,12.56,1.88,8.65,10.53,0.28,0.28,36,0.04,0.11,0.02,0.06,0.24
Marcus Lindberg,Sirius,Allsvenskan,1405,Attacking Midfielder,24,0.19,0.15,0.05,2.69,7,33,3,0.06,0.08,1.03,0.26,0.7,0.32,1.54,1.04,1.11,31.07,16.47,0,5.57,3.46,5.89,2.08,3.11,20,60,33.89,79,0.54,32.16,90,4.66,11.79,1.35,4.1,5.45,0.26,0.32,38,-0.02,0.05,0.02,0.03,0.08
Nahir Besara,Hammarby,Allsvenskan,2648,Attacking Midfielder,33,0.31,0.24,0.08,3.19,10,32,2,0.24,0.16,2.35,0.54,1.43,0.61,1.26,0.62,0.39,14.44,7,0.01,2.65,5.17,7.21,1.25,1.87,41,30,47.41,82,0.46,46.6,93,4.96,19,1.63,3.26,4.89,0.27,0.37,21,0.07,0.1,0.04,-0.01,0.21
Kristoffer Khazeni,Norrköping,Allsvenskan,617,Attacking Midfielder,29,0,0.13,0.09,1.46,0,40,2,0,0.17,1.6,0,3.21,1.31,1.46,0.09,0.44,25.07,12.24,0.02,2.19,2.62,5.39,0.63,0.72,60,30,20.41,68,0.42,26.96,79,7.17,8.6,1.31,3.5,4.81,0,0.44,75,0.04,0.11,0.01,-0.04,0.13
Vito Hammershøj-Mistrati,Norrköping,Allsvenskan,1067,Attacking Midfielder,32,0.42,0.37,0.23,1.6,26,42,3,0,0.08,1.01,0.42,0.59,0.17,1.1,0.49,1.25,22.18,11.89,0.03,4.39,4.05,6.41,1.46,1.95,33,31,25.3,73,0.51,20.32,89,4.37,8.52,0.34,3.71,4.05,0.08,0.25,20,0.05,0.04,0.13,0.11,0.33
Ramon Pascal Lundqvist,IFK Göteborg,Allsvenskan,1268,Attacking Midfielder,27,0.21,0.11,0.09,1.14,19,31,2,0.14,0.14,1.92,0.35,1.42,0.78,1.63,0.46,0.83,16.89,7.45,0,3.34,5.75,8.52,1.11,1.57,50,51,26.83,61,0.32,24.13,84,5.17,9.44,1.63,2.48,4.12,0.21,0.78,26,0.09,0.05,0.03,0.02,0.19
Arbnor Muçolli,IFK Göteborg,Allsvenskan,1083,Attacking Midfielder,25,0.17,0.15,0.05,3.08,5,22,4,0,0.1,1.58,0.17,2.99,1.41,3.24,0.14,0.21,31.34,15.46,0.02,5.15,4.9,7.31,2.5,2.64,46,14,30.92,72,0.36,39.65,81,6.42,12.47,1.33,6.07,7.4,0.08,0.58,19,-0.03,0.16,0.04,-0.04,0.13
