Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Han Jong-Mu,Jeju United FC,K League 1,1444,Attacking Midfielder,21,0.12,0.17,0.19,0.87,14,57,2,,0,0.02,0.5,0.5,0.12,0.19,1.37,1.06,0.44,1.62,1.03,0.16,24.55,13.21,0.02,3.43,3.61,6.29,1.21,2.25,53,38,22.18,18.97,5.3,0.37,26.73,84,74,2.31,0.31,0.39,25.49,83,4.85,7.79,0.5,0.5,0,0.56,2.99,3.49,0.12,38,0.25,67,0.62,17,-0.01,0.04,-0.01,-0.01,,0.01
Jesse Lingard,Seoul,K League 1,2090,Attacking Midfielder,32,0.22,0.13,0.07,1.94,11,40,2,50,0.09,0.17,1.77,1.12,0.3,0.3,3.7,1.68,0.69,1.64,0.34,0.33,18.69,9.56,0,3.32,3.4,5,1.13,1.47,36,15,17.05,19.21,3.36,0.34,36,76,31,3.96,0.51,0.64,34.54,88,5.18,13.82,1.94,1.16,0.78,0.26,3.49,4.65,0.17,18,0.47,29,0.56,13,0.05,0.03,0.01,-0.02,,0.08
Kang Hyun-Muk,Sangju Sangmu,K League 1,1222,Attacking Midfielder,23,0.15,0.2,0.1,1.99,7,33,3,,0.07,0.08,1.25,1.25,0.22,0.28,3.24,2.14,1.69,3.68,0.64,0.67,25.12,13.19,0,4.49,5.08,7.73,1.41,2.05,19,21,23.35,26.47,4.35,0.29,28.43,77,48,3.9,0.39,0.51,32.26,81,4.53,12.23,1.25,1.25,0,0.29,3.83,5.08,0.07,12,0.15,40,0.66,19,-0.01,0.08,0.04,-0.04,,0.08
Kim Joon-Beom,Daejeon Hana Citizen FC,K League 1,1331,Attacking Midfielder,26,0.27,0.09,0.07,1.28,21,53,2,,0.14,0.12,1.28,0.95,0.41,0.2,2.57,0.41,0.2,1.08,1.02,0.58,15.55,7.51,0.01,2.3,3.11,8.11,0.97,1.99,83,51,13.52,11.4,3.31,0.47,36.18,78,48,4.87,0.34,0.4,28.74,90,4.95,10.82,1.56,1.01,0.54,0.34,2.3,3.31,0.27,9,0.27,33,0.27,20,0.07,0.06,0.02,0,,0.15
Lee Dong-Gyeong,Sangju Sangmu,K League 1,1299,Attacking Midfielder,27,0.28,0.26,0.06,4.16,7,32,4,100,0.14,0.19,2.42,1.94,0.42,0.44,6.58,2.84,1.8,1.11,0.29,0.19,20.37,11.15,0.02,3.88,4.16,5.96,1.21,1.5,45,21,17.87,17.79,3.05,0.42,35.05,73,43,4.36,0.6,0.79,33.87,91,4.91,14.48,2.84,2.01,0.83,0.42,5.61,7.62,0.14,10,0.48,26,0.9,14,0.04,0.1,0.03,-0.01,,0.16
Lee Dong-Gyeong,Ulsan,K League 1,614,Attacking Midfielder,27,1.03,0.34,0.09,3.81,27,54,5,,0.73,0.43,2.93,1.91,1.76,0.78,6.74,1.47,0.88,1.17,1.37,0.17,25.07,14.81,0.02,5.42,4.4,5.72,2.78,4.15,56,13,21.85,26.39,4.98,0.73,31.96,83,62,3.23,0.73,1.06,29.91,89,4.64,12.9,2.49,1.17,1.32,0.73,6.89,8.06,0.29,24,0.73,50,1.17,15,0.11,0.13,0.06,0.31,,0.6
Lee Hee-Gyun,Gwangju,K League 1,1851,Attacking Midfielder,26,0.24,0.17,0.09,1.8,14,41,2,,0,0.08,1.07,1.07,0.24,0.25,2.87,3.7,2.19,2.19,0.61,0.83,20.08,10.75,0.01,4.18,4.08,8.07,0.81,1.43,26,19,18.53,20.47,4.67,0.97,37.59,83,67,5.2,0.45,0.52,41.52,87,7.93,11.67,1.65,1.6,0.05,0.19,3.55,5.15,0.1,18,0.53,50,0.19,15,0.04,0.12,0.03,0,,0.18
Song Min-Kyu,Jeonbuk Motors,K League 1,2034,Attacking Midfielder,25,0.18,0.16,0.11,1.42,13,25,2,100,0.27,0.13,1.55,1.46,0.44,0.29,2.96,1.68,0.75,2.74,0.72,0.17,17.21,7.92,0,2.48,3.54,5.71,1.4,2.12,40,30,15.22,15.77,3.54,0.31,28.28,78,68,4.07,0.4,0.52,30.49,83,5.52,12.08,1.19,1.11,0.09,0.84,5.04,6.15,0.09,19,0.4,39,1.02,17,0,0.07,0.04,-0.01,,0.1
Jin-young Park,Daegu,K League 1,2149,Centre Back,22,0,0.03,0.1,0.29,0,0,0,,0.04,0.02,0.38,0.38,0.04,0.05,0.67,0.59,0.42,0.42,1.51,2.38,14.36,7.91,0.08,4.82,2.3,8.46,1.5,3.01,54,61,11.39,10.03,2.43,0.38,32.95,87,66,1.55,0.28,0.29,25.42,97,3.63,2.76,0.04,0.04,0,0.04,1,1.05,0.04,0,0,0,0.04,23,0.01,0.02,0.05,-0.02,,0.06
Kim Hyun-Woo,Daejeon Hana Citizen FC,K League 1,2391,Centre Back,25,0.04,0.02,0.06,0.34,11,11,0,,0,0.01,0.15,0.15,0.04,0.03,0.49,0.38,0.23,0.3,1.51,3.53,10.39,6.06,0.06,4.07,1.28,9,1.08,2.58,53,54,8.28,7.05,1.36,0.26,48.11,87,59,1.17,0.28,0.29,36.59,99,4.56,1.62,0.04,0,0.04,0.04,0.94,0.94,0,0,0,0,0.15,24,0.02,0.05,0.06,-0.01,,0.12
