Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Cameron Humphreys,Wycombe Wanderers,League One,806,Attacking Midfielder,21,0.33,0.12,0.05,2.46,14,36,3,,0.22,0.1,0.89,0.89,0.56,0.23,3.35,1.56,0.89,0.78,0.87,1.05,31.59,14.96,0.04,3.35,5.36,8.15,2.19,3.06,30,38,27.8,27.93,5.92,0.33,30.14,72,34,3.01,0.59,0.66,28.36,91,4.35,10.83,0.89,0.89,0,0.33,4.69,5.58,0,0,0.22,17,0.67,19,0.06,0.09,0.02,0.01,,0.18
Daniel Kemp,Stevenage,League One,881,Attacking Midfielder,26,0.2,0.2,0.09,2.25,9,36,6,0,0,0.03,0.61,0.61,0.2,0.23,2.86,0.41,0.1,1.64,0.43,0.21,27.8,13.18,0,3.78,3.99,6.13,1.08,1.51,38,27,24.83,19.35,3.88,0.61,16.96,61,33,2.25,0.2,0.32,19.42,76,7.05,5.62,0.61,0.51,0.1,0,4.7,5.21,0,33,0.2,13,0.41,20,-0.04,0.11,-0.01,-0.03,,0.03
Ethan Galbraith,Leyton Orient,League One,1176,Attacking Midfielder,24,0.23,0.07,0.07,0.99,23,38,1,,0.08,0.09,0.99,0.99,0.31,0.15,1.99,1.3,0.54,1.53,0.78,0.49,22.19,12.09,0.01,4.36,6.58,9.26,1.18,1.96,45,38,19.74,18.44,3.21,0.77,35.05,80,48,5.2,0.23,0.35,32.29,90,7.58,11.86,1.07,1.07,0,0.23,2.14,3.21,0.15,21,0.31,40,0.54,20,0.08,0.05,0.02,0.01,,0.16
Hakeem Odofin,Rotherham United,League One,1231,Attacking Midfielder,27,0.07,0.19,0.13,1.46,5,20,2,,0,0.01,0.29,0.29,0.07,0.2,1.75,0.8,0.51,1.24,0.92,1.71,20.69,9.5,0.01,4.53,5.92,9.94,1.92,2.84,60,56,16.81,13.31,2.63,0.22,23.46,68,35,2.34,0.33,0.45,16.96,84,4.77,6.14,0.51,0.44,0.07,0.22,4.02,4.46,0,29,0.15,25,0.22,28,-0.03,0.02,-0.03,-0.12,,-0.16
Jack Aitchison,Exeter City,League One,943,Attacking Midfielder,25,0,0.12,0.07,1.62,0,12,2,,0.1,0.16,1.24,1.24,0.1,0.28,2.86,1.81,0.48,2.29,1.2,0,20.05,9.17,0,3.25,3.82,6.97,1.3,2.49,57,27,17.19,20.25,3.72,0.38,29.79,80,70,4.01,0.32,0.5,34.47,84,5.76,11.84,0.86,0.86,0,0.76,4.77,5.63,0.19,22,0.95,48,1.53,20,0.02,0.07,0.01,-0.1,,0
Joel John Randall,Peterborough United,League One,955,Attacking Midfielder,25,0.38,0.26,0.15,1.79,21,47,3,,0.19,0.14,1.04,1.04,0.57,0.4,2.83,0.66,0.47,1.7,0.32,0.22,20.72,11.49,0.01,1.88,3.2,5.93,0.61,0.93,50,36,19.59,21.61,3.77,0.47,25.72,79,52,3.67,0.48,0.69,24.96,87,6.15,8.2,1.32,1.13,0.19,0.28,3.77,4.9,0.09,0,0,0,1.04,14,0.01,0.06,0,0.07,,0.14
John McAtee,Bolton Wanderers,League One,797,Attacking Midfielder,25,0.34,0.22,0.1,2.26,15,45,3,,0,0.07,1.36,1.36,0.34,0.28,3.62,1.81,0.9,1.69,0.6,0.7,19.77,7.91,0,3.73,3.39,5.42,2.39,2.99,38,33,15.93,19.12,3.73,0.68,25.87,69,52,3.05,0.43,0.57,25.98,84,5.06,9.15,0.9,0.9,0,0.23,5.08,5.99,0.23,38,0.45,27,0.56,19,0.01,0.02,0,0.06,,0.09
Leo Castledine,Shrewsbury Town,League One,817,Attacking Midfielder,19,0.22,0.3,0.09,3.19,7,24,4,,0,0.01,0.22,0.22,0.22,0.31,3.41,1.76,0.88,2.75,0.16,1.11,28.3,13.98,0.02,4.96,2.86,5.95,1.13,1.3,0,45,25.33,20.42,5.07,0.22,24,67,55,2.53,0.27,0.46,21.25,78,6.15,7.38,0.33,0.33,0,0.22,4.96,5.29,0,33,0.11,13,0.22,17,-0.05,0.05,0.08,0,,0.08
Mallik Wilks,Rotherham United,League One,1095,Attacking Midfielder,26,0.25,0.17,0.05,3.37,7,29,7,,0,0.12,1.23,0.99,0.25,0.29,4.6,3.95,1.73,3.37,0.23,0.35,19.57,7.98,0,2.55,4.69,5.92,0.54,0.77,33,33,16.69,14.4,2.96,0.49,13.73,62,50,1.81,0.21,0.41,23.02,66,6.67,5.76,1.15,0.9,0.25,0.41,5.34,6.25,0.08,57,0.99,50,0.66,16,0.04,0.17,-0.02,-0.08,,0.12
Ruel Sotiriou,Bristol Rovers,League One,806,Attacking Midfielder,24,0.11,0.2,0.15,1.34,8,8,4,,0.11,0.07,1,1,0.22,0.27,2.34,1.67,0.67,2.12,0.18,0.73,20.65,11.16,0.03,3.57,2.9,4.47,0.26,0.44,0,22,18.64,12.09,2.57,0.22,11.61,70,57,1.56,0.29,0.46,15.07,68,4.62,4.8,0.56,0.56,0,0.33,3.8,4.35,0.11,0,0,0,1,20,0.04,0.05,0.04,-0.01,,0.12
Thelo Aasgaard,Wigan Athletic,League One,1182,Attacking Midfielder,23,0.23,0.28,0.11,2.51,9,36,3,,0,0.07,0.84,0.84,0.23,0.35,3.35,1.45,0.53,1.75,0.41,1.15,19.58,10.21,0.04,3.58,4.11,6.32,1.62,2.03,25,32,17.06,16.06,2.89,0.3,25.82,81,65,2.29,0.39,0.54,26.2,85,5.58,8.15,0.91,0.91,0,0.23,4.34,5.26,0,8,0.15,22,0.46,16,0.03,0.06,0.04,-0.01,,0.12
Will Collar,Stockport County,League One,878,Attacking Midfielder,28,0.2,0.15,0.1,1.43,14,57,2,,0.1,0.17,1.95,1.95,0.31,0.31,3.38,0.61,0.31,0.72,0.63,0.54,26.44,11.48,0.01,4.2,4.71,6.66,1.6,2.22,71,29,22.65,24.64,5.84,0.51,26.03,71,58,2.56,0.51,0.67,21.01,88,4.36,7.89,0.61,0.61,0,0.51,3.89,4.51,0.1,33,0.31,33,0.61,20,0.01,0.02,0.02,0.04,,0.08
Willum Þór Willumsson,Birmingham City,League One,1064,Attacking Midfielder,26,0.34,0.3,0.13,2.37,14,46,3,,0.34,0.18,0.85,0.85,0.68,0.47,3.22,1.02,0.76,1.78,0.71,1.8,19.46,8.63,0.05,5.75,4.4,6.77,2.52,3.23,33,40,17.26,29.69,5.67,1.02,40.11,82,60,3.98,0.55,0.8,39.52,92,4.21,13.03,0.68,0.68,0,0.59,5.25,5.92,0.25,25,0.25,27,0.85,18,0,0.09,0.06,0.01,,0.15
Dan Scarr,Wrexham,League One,609,Centre Back,30,0,0.02,0.03,0.44,0,33,0,,0,0,0,0,0,0.02,0.44,0.15,0.15,0,1.34,4.54,9.16,3.55,0.06,5.32,1.33,14.48,1.28,2.62,67,65,7.68,7.1,1.18,0.15,34.42,69,44,1.48,0.24,0.24,20.98,99,3.99,1.48,0,0,0,0,1.33,1.33,0,,0,,0,36,0.01,0,0.01,-0.02,,0.01
Deji Oshilaja,Mansfield Town,League One,1271,Centre Back,32,0.07,0.06,0.16,0.35,20,60,0,,0,0.05,0.21,0.21,0.07,0.11,0.57,0.21,0.14,0.35,1.03,3.41,8.49,4.25,0.11,3.96,1.98,13.73,0.99,2.02,78,75,6.44,5.45,0.92,0.21,49.84,82,52,2.62,0.37,0.39,38.3,99,5.05,3.4,0.28,0.28,0,0,1.13,1.42,0.07,25,0.07,33,0.07,26,0.01,0.06,0.12,0.01,,0.2
Eoghan O'Connell,Wrexham,League One,1149,Centre Back,29,0,0,,0,,,0,,0,0.01,0.31,0.31,0,0.01,0.31,0.08,0.08,0.39,1.41,4.21,11.04,5.01,0.08,4.54,1.88,14.02,0.99,2.4,64,80,9.01,6.47,1.64,0.08,37.12,75,59,2.74,0.44,0.44,25.69,98,4.67,3.05,0.55,0.47,0.08,0,0.23,0.7,0,29,0.16,67,0.08,34,0.04,0.05,0.1,,,0.19
Joy Mukena,Crawley Town,League One,1149,Centre Back,25,0,0,0.04,0.08,0,0,0,,0,0.01,0.08,0.08,0,0.02,0.16,0.08,0,0.23,1.64,6.66,11.75,5.25,0.08,5.25,1.57,14.88,1.11,2.76,80,55,10.18,14.3,2.58,0.63,61.23,88,71,1.88,0.37,0.38,47.14,99,4.03,2.43,0.16,0.16,0,0,0.47,0.63,0.16,0,0,,0.08,24,0.03,0.05,-0.04,-0.01,,0.03
Lloyd Jones,Charlton Athletic,League One,992,Centre Back,29,0.09,0.1,0.12,0.82,11,33,0,,0,0,0.09,0.09,0.09,0.1,0.91,0,0,0.27,0.96,7.04,9.8,4.17,0.1,4.08,2.27,12.7,1.13,2.09,75,71,7.98,6.4,1,0.36,39.73,77,51,2.54,0.34,0.38,26.21,99,5.26,2.9,0.45,0.45,0,0.18,2.54,2.99,0,0,0,0,0.27,34,0,0.01,0.02,0.07,,0.11
