Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aaron Wildig,Newport County AFC,League Two,1196,Attacking Midfielder,33,0.3,0.15,0.13,1.13,27,47,2,,0,0.02,0.68,0.68,0.3,0.17,1.81,0.38,0.3,0.6,0.49,0.71,21.3,10.69,0.03,3.61,3.84,7.15,1.45,1.94,36,33,18.22,14.89,4.74,0.68,29.66,80,48,2.03,0.34,0.41,22.81,95,3.17,5.8,0.3,0.3,0,0.15,2.56,2.86,0,0,0.08,17,0.45,21,-0.02,0.11,0.04,-0.02,,0.11
Armando Dobra,Chesterfield,League Two,1194,Attacking Midfielder,24,0.23,0.28,0.1,2.71,8,25,4,,0,0.06,0.83,0.83,0.23,0.34,3.54,1.66,0.75,3.09,0.55,0.29,22.23,12.21,0.01,4.29,3.92,6.03,2.34,2.89,37,14,19.14,26.6,4.29,0.75,26.6,80,46,3.99,0.43,0.61,34.81,82,7.07,10.4,0.53,0.53,0,0.45,4.75,5.27,0,0,0.08,13,0.45,21,-0.05,0.18,-0.01,-0.09,,0.03
Ben Woodburn,Salford City,League Two,834,Attacking Midfielder,25,0.22,0.15,0.07,2.16,10,30,3,,0.22,0.08,1.29,0.86,0.43,0.23,3.45,1.29,0.54,1.83,0.65,0.13,25.36,10.9,0.02,3.56,4.75,7.55,1.33,1.98,33,39,22.12,21.4,4.96,0.65,24.39,68,64,4.53,0.22,0.38,23.74,82,5.29,8.53,1.19,0.65,0.54,0,1.73,2.37,0.22,0,0,0,0.22,21,0,0.04,0.01,0,,0.05
Conner Jennings,Tranmere Rovers,League Two,1109,Attacking Midfielder,33,0.16,0.19,0.12,1.54,11,37,2,,0.08,0.05,0.73,0.73,0.24,0.24,2.27,0.41,0.32,0.97,0.56,2.33,13.88,6.33,0.03,3,4.95,8.68,1.33,1.89,55,65,11.36,10.84,2.76,0.24,29.14,65,37,2.84,0.27,0.4,22.89,90,3.51,9.09,0.41,0.41,0,0.24,4.14,4.54,0.08,20,0.08,33,0.73,26,-0.1,0.01,0.01,-0.03,,-0.11
George Lapslie,Gillingham,League Two,708,Attacking Midfielder,27,0.13,0.18,0.14,1.27,10,40,2,,0,0.04,0.25,0.25,0.13,0.22,1.53,0.64,0.51,0.76,0.24,0.53,21.74,9.15,0.03,4.45,4.07,6.23,1.83,2.06,63,32,17.8,13.4,3.69,0.38,21.11,81,57,1.65,0.2,0.35,19.83,89,3.58,7.37,0.51,0.51,0,0.13,3.05,3.56,0.13,25,0.13,33,0.51,19,-0.04,0.03,0.06,-0.03,,0.02
Harry Clifton,Doncaster Rovers,League Two,965,Attacking Midfielder,26,0.19,0.26,0.12,2.15,9,30,3,,0,0.03,0.93,0.93,0.19,0.3,3.08,1.21,0.37,1.31,0.83,0.98,24.81,11.01,0.01,4.76,6.16,9.98,2.67,3.5,33,39,20.71,23.28,5.69,1.21,31.25,72,72,3.26,0.44,0.6,26.58,88,4.74,9.7,0.47,0.47,0,0,4.85,5.32,0.09,0,0.28,33,0.47,22,-0.04,0.03,0.02,0.03,,0.04
Harvey Macadam,Morecambe,League Two,717,Attacking Midfielder,24,0.13,0.05,0.07,0.75,17,33,1,,0,0.05,0.63,0.63,0.13,0.1,1.38,0.75,0.63,2.01,0.56,1.49,23.59,9.54,0.03,3.01,5.02,7.65,0.99,1.55,100,51,21.46,18.48,3.76,0,27.98,74,52,2.38,0.23,0.29,22.96,88,5.01,10.79,1,0.88,0.13,0.25,2.38,3.26,0,38,0.63,36,0.63,21,0.04,0.03,0.01,-0.02,,0.06
Jimmy Knowles,Accrington Stanley,League Two,666,Attacking Midfielder,24,0.27,0.16,0.11,1.49,18,36,4,,0.14,0.05,0.68,0.68,0.41,0.21,2.16,0.95,0.54,1.49,0.18,0.47,17.56,5.94,0.01,1.76,3.24,4.19,0.6,0.78,33,29,15.8,12.13,2.57,0,17.29,74,57,1.62,0.23,0.39,16.88,76,4.57,6.08,0.54,0.54,0,0,2.3,2.84,0.14,0,0,0,0.14,17,-0.04,-0.03,0,0.04,,-0.02
Joel Colwill,Cheltenham Town,League Two,1013,Attacking Midfielder,20,0.18,0.11,0.06,1.87,10,24,3,,0.18,0.1,0.89,0.71,0.36,0.22,2.75,1.51,0.36,1.69,0.43,0.83,22.21,9.86,0.02,4.09,5.06,9.42,1.34,1.77,67,35,19.28,14.63,3.46,0.44,26.74,71,47,4.35,0.42,0.51,26.56,81,6.02,8.35,0.89,0.8,0.09,0.18,3.2,4,0.27,20,0.27,27,0.36,26,-0.01,0.11,0.02,-0.08,,0.04
Kian Spence,Barrow,League Two,1253,Attacking Midfielder,24,0.07,0.12,0.06,2.23,3,26,2,,0,0.06,0.93,0.93,0.07,0.19,3.16,1.15,0.57,1.22,0.55,1.01,34.18,17.09,0.03,6.46,5.03,8.47,2.58,3.13,47,30,29.22,25.06,6.1,0.5,31.66,74,61,3.88,0.23,0.29,29.01,88,4.29,10.27,0.79,0.79,0,0.29,2.58,3.37,0,0,0.29,36,0.22,19,0.02,0.03,0.03,-0.05,,0.04
