Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Balázs Dzsudzsák,Debrecen,NB I,803,Attacking Midfielder,38,0,0.08,0.04,2.02,0,33,2,100,0.45,0.25,2.8,1.01,0.45,0.33,4.82,0.56,0.22,0.45,0.41,0.48,8.96,5.04,0.02,2.24,4.26,6.61,0.18,0.59,0,43,8.63,9.18,1.23,0,29.35,68,48,5.15,0.28,0.35,25.77,95,4.72,7.28,4.59,1.57,3.03,0.11,1.34,2.91,0.34,12,0.67,38,0.11,18,0.34,0.05,0.02,0.01,,0.42
István Bognár,MTK,NB I,1031,Attacking Midfielder,34,0.09,0.14,0.05,2.88,3,30,3,100,0.35,0.14,1.92,1.31,0.44,0.28,4.8,1.22,0.87,1.05,0.17,0.43,13.71,6.11,0.01,2.71,4.19,7.16,1.61,1.78,57,17,12.31,13.75,3.14,0.52,38.42,69,57,6.99,0.42,0.56,36.32,94,4.05,13.45,2.44,1.4,1.05,0.17,2.71,4.1,0.26,11,0.44,38,0.35,22,0.07,0.12,0.03,-0.03,,0.18
Ahmed Nadir Benbouali,Győri ETO,NB I,424,Centre Forward,25,0.43,0.2,0.1,2.13,20,40,5,,0,0.09,0.64,0.64,0.43,0.3,2.76,1.91,1.06,2.98,0.15,1.71,20.61,7.44,0.04,4.25,2.34,4.25,0.97,1.12,0,46,18.91,19.1,4.04,0.21,17,64,67,1.7,0.52,0.69,16.15,70,5.89,3.4,0.21,0.21,0,0.64,3.83,4.04,0.21,0,0.21,33,0.64,14,0.07,0.02,0.06,0.1,,0.26
Jakub Plšek,Puskas,NB I,534,Attacking Midfielder,31,0.17,0.18,0.08,2.36,7,21,1,100,0,0.07,0.67,0.67,0.17,0.25,3.03,0.84,0.34,0.51,0.93,0.77,13.65,7.08,0.03,2.36,3.88,8.26,1.62,2.55,63,53,10.96,13.48,2.7,0.34,40.11,77,53,5.06,0.45,0.64,27.3,95,4.16,10.11,0.17,0.17,0,0.34,5.06,5.22,0,0,0,0,0.51,24,0.03,0.03,0.03,-0.12,,-0.03
Jonathan Levi,Puskas,NB I,644,Attacking Midfielder,29,0.42,0.16,0.06,2.51,17,44,3,,0.14,0.23,2.51,1.96,0.56,0.39,5.03,1.82,1.12,2.23,1.1,0.33,21.09,10.61,0,4.75,5.03,7.68,2.84,3.94,60,46,17.6,21.36,3.91,0.98,34.78,75,53,5.73,0.53,0.68,30.17,88,6.27,11.59,2.51,1.82,0.7,0.56,3.21,5.03,0.28,11,0.84,35,0.7,22,0.19,0.06,-0.03,0.02,,0.23
András Huszti,Fehervar,NB I,467,Right Back,24,0,0.05,0.06,0.96,0,40,1,,0,0.08,0.96,0.77,0,0.13,1.93,1.16,0.58,1.16,0.99,1.61,14.26,6.36,0.02,3.85,3.85,8.86,1.26,2.25,67,40,11.37,11.31,1.93,0.58,32.56,76,47,2.7,0.41,0.45,29.67,92,5.85,5.2,1.54,0.58,0.96,0,2.12,2.7,0.19,38,0.77,22,0,22,0.21,0.06,0.02,-0.01,,0.29
Kady Iuri Borges Malinowski,Ferencvaros,NB I,571,Attacking Midfielder,29,0.16,0.15,0.05,3,5,21,3,100,0,0.39,3.47,2.36,0.16,0.54,6.46,2.52,1.42,1.89,1.31,0.95,17.02,7.25,0.02,4.73,5.99,10.09,1.79,3.09,57,22,15.45,24.35,4.26,0.95,41.93,75,48,5.67,0.7,0.88,45.4,89,4.6,13.56,3.78,2.36,1.42,0.32,2.84,5.2,0.32,17,0.79,38,0.47,22,0.24,0.12,0.03,-0.03,,0.35
Kristoffer Zachariassen,Ferencvaros,NB I,593,Attacking Midfielder,31,0,0.33,0.17,1.97,0,23,4,,0.15,0.13,1.37,1.37,0.15,0.46,3.34,1.37,0.76,0.76,0.76,0.89,21.56,10.47,0.02,4.86,3.64,6.07,1.2,1.95,29,37,19.58,29.92,4.25,0.61,26.41,75,100,2.28,0.53,0.72,23.38,88,4.85,10.47,0.46,0.46,0,0.3,6.68,7.13,0.15,100,0.61,57,1.06,14,-0.01,-0.01,0.03,-0.23,,-0.22
André Duarte,Ujpest,NB I,894,Centre Back,27,0.1,0.11,0.22,0.5,20,20,0,,0,0.01,0.2,0.2,0.1,0.12,0.7,0.2,0.1,0.2,2.1,4.32,8.86,3.72,0.06,5.03,1.61,10.87,1.46,3.56,57,54,7.15,7.67,1.41,0.6,49.13,87,53,2.92,0.44,0.46,38.05,99,5.4,3.02,0.1,0.1,0,0,0.91,1.01,0,0,0,0,0,29,0.06,0.06,-0.08,0.04,,0.08
Artem Odyntsov,Diósgyőr,NB I,490,Goalkeeper,24,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,2.75,0,0,,,0,0,0,0,22.77,68,44,1.1,0.16,0.16,14.51,100,4.36,0.37,0,0,0,0,0,0,0,,0,,0,57,0.13,0.03,,,-0.37,-0.21
Bence Várkonyi,Zalaegerszegi TE,NB I,1087,Centre Back,23,0,0.03,0.16,0.17,0,0,0,,0,0,0,0,0,0.03,0.17,0.08,0.08,0.25,0.65,2.74,11.92,6.71,0.08,4.8,1.74,8.86,0.64,1.29,75,48,9.77,5.51,1.41,0.08,28.57,81,50,1.08,0.27,0.27,19.71,99,5.92,1.24,0,0,0,0,0.33,0.33,0,,0,,0,23,0.04,0.05,0.05,-0.03,,0.11
Csaba Belényesi,Kecskeméti TE,NB I,1176,Centre Back,31,0,0.04,0.06,0.69,0,33,0,,0,0,0.15,0.08,0,0.05,0.84,0.08,0,0.08,1.28,3.38,10.56,5.36,0.11,4.75,1.76,10.03,1.53,2.81,46,51,8.34,8.12,1.38,0.46,39.42,87,74,2.07,0.25,0.26,26.48,99,3.45,2.53,0.08,0.08,0,0,1.07,1.15,0,0,0,,0,29,0.04,0.03,0.02,-0.05,,0.05
János Szépe,Győri ETO,NB I,848,Centre Back,29,0,0.03,0.07,0.42,0,25,0,,0,0.01,0.21,0.21,0,0.04,0.64,0,0,0,0.4,5.27,6.9,2.97,0.08,2.76,0.95,10.93,0.75,1.16,100,67,5.73,6.09,0.85,0,33.84,86,61,1.17,0.34,0.35,23.23,99,4.74,1.27,0.11,0.11,0,0,1.06,1.17,0,0,0,,0,28,0.03,0.03,0.03,-0.03,,0.07
Attila Temesvári,Nyíregyháza Spartacus,NB I,407,Right Centre Back,24,0,0.03,0.07,0.44,0,50,0,,0,0.02,0.22,0.22,0,0.05,0.66,0,0,0.44,0.79,2.11,11.05,7.74,0.05,2.65,1.99,8.62,0.82,1.62,75,73,8.84,5.25,1.33,0,26.74,60,41,2.43,0.18,0.18,14.59,97,3.59,2.65,0,0,0,0.44,1.99,1.99,0,,0,,0.44,47,0.06,0.01,0.05,0.01,,0.13
Balázs Bakti,Zalaegerszegi TE,NB I,327,Right Centre Midfielder,20,0.28,0.09,0.07,1.38,20,40,1,,0.28,0.28,1.65,0.83,0.55,0.37,3.03,1.38,0.55,1.38,1.04,0.44,24.51,15.42,0.02,4.41,3.58,7.44,1.06,2.09,50,56,20.11,13.07,2.75,0.28,29.19,75,45,3.03,0.44,0.62,25.61,90,4.68,10.47,2.48,1.38,1.1,0.55,2.48,3.86,0,11,0.55,40,0.55,24,0.29,0.05,0.08,0.08,,0.5
Balázs Balogh,Paksi FC,NB I,499,Left Defensive Midfielder,34,0,0.02,0.03,0.72,0,0,1,,0.18,0.21,2.17,1.99,0.18,0.24,2.89,0.54,0,0.36,0.33,3.3,13.9,5.24,0.02,5.6,9.03,16.43,1.43,1.76,55,33,11.91,13.05,2.17,0,49.46,82,47,6.68,0.59,0.68,36.65,96,4.37,13,1.44,1.08,0.36,0.54,1.62,2.71,0.54,0,0,0,0.72,22,0.11,0.1,0.15,-0.03,,0.32
Balázs Bese,Nyíregyháza Spartacus,NB I,304,Goalkeeper,26,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,5.34,0,0,,,0,0,0,0,18.68,69,43,1.78,0.12,0.12,14.23,100,4.98,0.89,0.59,0.3,0.3,0,0,0.3,0,0,0,,0,53,0.24,0.08,,,0.05,0.37
Ákos Kinyik,Paksi FC,NB I,982,Centre Back,32,0.09,0.06,0.67,0.09,100,100,0,,0,0,0.09,0.09,0.09,0.06,0.18,0.09,0.09,0,2.16,7.17,13.92,7.88,0.02,6.87,2.75,16.31,2.24,4.4,54,60,10.72,12.19,1.47,0.09,41.13,80,49,2.11,0.4,0.4,27.48,99,4.64,2.47,0,0,0,0,0.18,0.18,0,,0,0,0,32,0.06,0.06,0.18,0.03,,0.34
Áron Alaxai,Nyíregyháza Spartacus,NB I,1031,Centre Back,22,0,0.01,0.08,0.17,0,0,0,,0,0,0,0,0,0.01,0.17,0.17,0,0.09,0.84,2.45,16.06,7.51,0.08,6.63,1.66,9.69,0.4,1.24,33,65,13.27,8.94,1.31,0.35,26.53,80,36,0.79,0.09,0.09,16.67,97,4.51,0.87,0,0,0,0.09,1.05,1.05,0,,0,,0.09,31,0.04,-0.07,-0.18,-0.01,,-0.22
Balázs Tóth,Fehervar,NB I,497,Goalkeeper,27,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,4.34,0,0,,0,0,0,0,0,20.81,70,36,1.09,0.22,0.22,15.74,99,4.84,0.54,0,0,0,0,0,0,0,,0,,0,47,0.17,0.03,,,-0.08,0.13
Bojan Sanković,Zalaegerszegi TE,NB I,1165,Defensive Midfielder,31,0,0,0.04,0.08,0,0,0,,0,0.01,0.54,0.54,0,0.02,0.62,0.23,0.15,0.62,1.13,0.61,30.21,18.31,0.02,7.34,7.11,16.69,1.37,2.49,69,58,25.26,13.94,4.17,0.62,46.58,86,69,4.94,0.38,0.38,32.76,97,3.47,9.19,0.15,0.15,0,0,0,0.15,0,0,0,0,0.08,24,0.07,0.08,0.07,-0.01,,0.21
Barna Kesztyűs,Nyíregyháza Spartacus,NB I,489,Left Defensive Midfielder,31,0,0.01,0.02,0.55,0,0,1,,0,0.01,0.37,0.37,0,0.02,0.92,0.55,0.18,0.55,0.79,0.88,24.64,15.08,0.03,5.33,5.7,10.67,1.25,2.03,44,75,21.51,12.4,2.76,0,28.5,83,63,2.02,0.12,0.13,19.31,94,3.83,4.41,0,0,0,0,0.18,0.18,0.18,,0,,0,22,-0.01,0.03,0.04,-0.02,,0.04
Bálint Vécsei,Paksi FC,NB I,568,Defensive Midfielder,31,0.16,0.09,0.04,2.22,7,29,3,,0.16,0.02,0.48,0.48,0.32,0.11,2.69,0.48,0,0.63,0.91,2.41,23.44,11.56,0.03,6.02,7.92,17.1,2.25,3.17,27,60,20.11,21.8,5.54,0.63,43.55,75,60,5.86,0.65,0.71,31.2,93,5.53,11.88,0.63,0.48,0.16,0,1.58,2.06,0,25,0.32,40,0.32,25,0.01,0.13,0.07,-0.02,,0.19
Martin Vágó,Kecskeméti TE,NB I,988,Defensive Midfielder,32,0.09,0.02,0.03,0.64,14,57,0,,0,0.03,0.46,0.36,0.09,0.05,1.09,0.18,0.18,0.27,1.63,3.8,13.39,6.1,0.04,4.19,4.37,11.66,1.2,2.83,33,84,10.11,9.37,2,0.27,47.83,85,77,3.74,0.39,0.42,34.44,97,3.88,8.11,0.55,0.27,0.27,0.09,1.18,1.46,0,0,0,,0.18,20,0.02,0.04,-0.03,-0.02,-0.11,-0.1
