Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Josh Campbell,Hibernian,Premiership,390,Centre Attacking Midfielder,25,0,0.11,0.05,2.08,0,33,2,0,0.09,0.92,0,0.92,0.69,2.08,0.04,0.4,27.72,15.94,0.02,3.47,3.93,6.47,0.66,0.69,14,27,27.03,69,0.31,21.95,84,5.74,6.7,0.46,3.23,3.7,0,0.46,33,-0.03,0.06,-0.01,-0.1,-0.09
Yan Dhanda,Hearts,Premiership,617,Attacking Midfielder,26,0,0.06,0.05,1.31,0,0,1,0.15,0.08,1.02,0.15,1.17,0.73,1.75,0.23,0.86,16.49,9.48,0,2.04,3.94,6.86,1.01,1.24,40,50,38.52,66,0.43,38.38,92,7.05,12.99,1.17,2.33,3.5,0.15,0.73,16,0.19,0.1,-0.01,-0.08,0.2
Nicky Clark,St Johnstone,Premiership,922,Attacking Midfielder,33,0.29,0.21,0.15,1.37,21,36,2,0,0.02,0.59,0.29,0.78,0.39,1.37,0.66,1.47,12.01,4.78,0.02,1.95,2.44,5.56,1.24,1.9,0,39,27.72,77,0.44,20.4,86,2.82,5.27,0.29,2.73,3.03,0,0,0,-0.07,-0.02,0.01,-0.02,-0.1
Jack Grieves,Ross County,Premiership,336,Centre Attacking Midfielder,20,0,0.04,0.08,0.54,0,0,2,0.27,0.01,0.54,0.27,1.88,1.34,1.34,0.44,1.5,26.54,12.06,0,3.22,3.22,5.36,0.7,1.14,14,33,13.13,57,0.15,13.94,67,5.38,3.48,0.27,1.07,1.34,0,0.27,20,-0.04,0.01,0,-0.01,-0.04
Leighton Clarkson,Aberdeen,Premiership,336,Centre Attacking Midfielder,23,0,0.09,0.11,0.8,0,33,0,0,0.17,1.34,0,0.54,0.27,0.8,0,1.14,30.23,16.05,0.02,7.49,4.55,8.56,2.88,2.88,50,0,37.45,71,0.4,34.78,95,2.66,13.64,1.34,1.34,2.68,0.27,0.54,40,0.22,0.1,0.06,0.04,0.41
Pape Habib Guèye,Aberdeen,Premiership,350,Centre Attacking Midfielder,25,1.29,0.54,0.23,2.32,56,56,3,0,0.04,0.77,1.29,2.57,0.77,2.06,0.84,1.06,21.61,8.75,0,5.66,2.57,4.63,1.73,2.56,80,57,26.5,69,0.72,28.05,75,7.37,6.18,0.77,4.37,5.15,0,0,0,-0.1,0.03,-0.08,0.57,0.42
Tom Lawrence,Rangers,Premiership,611,Attacking Midfielder,31,0.44,0.35,0.16,2.21,20,53,3,0.29,0.1,1.03,0.74,2.06,1.18,2.8,0.39,1.17,18.7,8.1,0.03,3.83,4.27,6.04,2.92,3.31,75,31,35.93,80,0.85,34.31,87,4.69,12.08,1.33,4.12,5.45,0.15,0.59,67,-0.09,0.09,-0.01,0.06,0.05
Jorge Grant,Hearts,Premiership,611,Attacking Midfielder,30,0,0.04,0.05,0.88,0,50,1,0,0.03,0.88,0,1.47,0.59,0.74,0.78,1.48,14.72,7.21,0.01,2.94,4.86,9.86,2.19,2.97,63,35,33.85,80,0.42,30.62,92,4.74,11.19,0.88,2.8,3.68,0,0.29,29,0.12,0.06,0.05,-0.02,0.22
Marley Watkins,Kilmarnock,Premiership,764,Attacking Midfielder,34,0.35,0.41,0.18,2.24,16,26,5,0,0.06,1.06,0.35,1.3,0.35,1.41,0.19,0.41,25.09,9.9,0.09,3.89,2.24,3.77,0.8,0.99,43,29,13.43,75,0.5,14.14,67,5.46,5.18,0.24,5.42,5.65,0,0.12,33,-0.01,0.01,0.15,-0.01,0.14
Declan Gallagher,Dundee United,Premiership,1108,Centre Back,34,0,0.02,0.06,0.24,0,33,0,0,0,0,0,0.08,0,0.16,0.71,3.63,8.61,4.55,0.07,3.9,0.41,10.48,0.89,1.61,42,58,30.71,75,0.18,18.44,97,5.36,2.03,0,1.22,1.22,0,0,,0.09,0.03,0.06,-0.01,0.17
