Name,Team,Minutes,Primary Position,Age,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions
Mallik Wilks,Rotherham United,817,Attacking Midfielder,26,0.22,0.22,0.13,0.04,3.08,7,25,7,0,0.12,1.43,0,0.11,1.1,0,0.01,0.33,3.97,1.87,2.09,47,2.53,0.11,2.53,4.19,0.11,0.13,0.44,0.36,21.15,9.36,0,2.64,60.15,5.18,6.17,0.88,0.99,80,0.44,0.57,2.09,33,0.22,30,1.98,0,1.98,0.22,0.37,22.03,71,6.99,6.5,1.32,0.99,0.33,0.55,5.18,6.17,0.11,50,1.1,53,0.77
Thelo Aasgaard,Wigan Athletic,808,Attacking Midfielder,23,0.22,0.22,0.21,0.09,2.34,10,33,3,0,0.03,0.67,0,0.03,0.67,0,0,0,1.22,0.45,0.78,36,2.34,0,1.11,2.67,0.56,0.41,1.89,1.23,20.6,11.8,0.04,3.01,49.78,3.56,5.34,1.45,2,76,1.46,1.88,0.89,20,0.45,35,1.67,0,2,0.3,0.39,25.27,87,5.51,7.68,0.78,0.78,0,0.11,3.9,4.68,0,0,0,0,0.33
Ethan Galbraith,Leyton Orient,778,Attacking Midfielder,24,0.35,0.35,0.09,0.08,1.16,30,40,1,0.12,0.07,0.69,0.12,0.07,0.69,0,0,0,1.39,0.58,0.81,42,1.04,0,1.5,2.66,1.16,1.18,0.58,0.52,24.63,13.18,0.01,4.63,56.83,6.36,9.37,1.27,2.43,50,1.03,2.21,1.62,44,1.27,39,1.27,0,5.67,0.3,0.43,33.3,89,7.64,12.49,1.39,1.39,0,0.23,2.54,3.93,0,17,0.35,38,0.69
Daniel Phillips,Stevenage,699,Attacking Midfielder,24,0,0,0.01,0.02,0.51,0,25,1,0,0.04,0.51,0,0.04,0.51,0,0,0,0.51,0.26,0.26,50,1.16,0,0.9,2.19,1.29,0.87,1.29,0.8,25.48,13.51,0.05,2.96,45.06,6.69,10.55,3.09,4.38,89,2.19,3.06,2.19,57,0.39,55,1.54,0,1.8,0.22,0.24,17.5,84,4.19,6.56,0.13,0.13,0,0.39,0.77,0.9,0.13,100,0.26,67,0.26
Willum Þór Willumsson,Birmingham City,681,Attacking Midfielder,26,0.26,0.26,0.3,0.15,1.98,13,60,2,0.26,0.12,0.66,0.26,0.12,0.66,0,0,0,0.79,0.53,0.26,67,1.19,0,1.72,1.72,0.66,1.12,0.93,1.62,18.65,7.93,0.02,4.63,55.34,4.23,6.74,0.93,1.59,64,1.52,2.64,0.66,20,0.53,44,1.85,0.13,4.36,0.59,0.75,38.75,92,4.4,12.03,0.53,0.53,0,0.26,3.83,4.36,0.26,0,0,0,0.53
Will Collar,Stockport County,640,Attacking Midfielder,28,0,0,0.16,0.11,1.41,0,50,2,0,0.15,1.83,0,0.15,1.83,0,0,0,0.7,0.42,0.28,60,1.55,0,0.99,1.97,0.56,0.8,0.7,0.74,26.45,11.82,0.02,3.94,52.62,4.36,6.61,1.83,2.39,87,1.94,2.74,1.97,67,0.28,28,1.13,0,2.53,0.58,0.75,21.39,87,4.23,7.32,0.7,0.7,0,0.42,3.8,4.5,0.14,20,0.28,40,0.56
Jack Aitchison,Exeter City,639,Attacking Midfielder,25,0,0,0.13,0.1,1.27,0,11,1,0,0.1,1.55,0,0.1,1.55,0,0,0,1.55,0.42,1.13,27,1.97,0,2.25,3.94,0.84,1.04,0,0,20.13,8.73,0,2.96,56.45,3.8,6.62,0.99,1.83,88,1.1,2.14,1.69,67,0.14,14,0.28,0,3.38,0.28,0.39,32.66,82,5.85,10.28,0.99,0.99,0,0.84,4.51,5.49,0.14,29,0.84,60,1.69
Daniel Kemp,Stevenage,621,Attacking Midfielder,26,0,0,0.17,0.08,2.17,0,27,5,0,0.03,0.72,0,0.03,0.72,0,0,0,0.43,0.14,0.29,33,2.17,0.14,1.3,3.62,0.72,0.61,0.14,0.07,23.61,11.3,0,3.48,53.38,3.62,5.94,1.01,1.74,64,0.81,1.43,1.88,43,0.58,28,1.59,0,2.61,0.17,0.3,19.84,79,6.87,6.08,0.58,0.43,0.14,0,4.93,5.36,0,25,0.14,10,0.58
James Wilson,Bristol Rovers,999,Centre Back,36,0.09,0.09,0.06,0.11,0.54,17,33,0,0,0.02,0.27,0,0.02,0.27,0,0,0,0.45,0.27,0.18,60,0.45,0,0.36,0.54,1.89,1.33,5.05,3.55,9.55,4.06,0.06,3.24,25.3,2.7,13.97,1.71,3.61,100,1.2,2.53,0.54,100,0,63,3.33,0.09,2.97,0.21,0.23,21.81,96,4.94,2.43,0.18,0.18,0,0,0.63,0.81,0,50,0.09,14,0.09
Lloyd Jones,Charlton Athletic,992,Centre Back,29,0.09,0.09,0.1,0.12,0.82,11,33,0,0,0,0.09,0,0,0.09,0,0,0,0,0,0,,1.18,0,0.27,0.18,1.45,0.96,7.53,7.19,9.8,4.17,0.1,4.26,25.79,2.27,12.88,1.27,2.72,100,1.13,2.09,0.54,100,0,72,8.07,0,2.54,0.34,0.38,26.21,99,5.26,2.9,0.45,0.45,0,0.18,2.54,2.99,0,0,0,0,0.27
Eoghan O'Connell,Wrexham,956,Centre Back,29,0,0,0,,0,,,0,0,0.01,0.38,0,0.01,0.38,0,0,0,0.09,0.09,0,100,1.04,0,0.09,0.28,2.07,1.53,6.03,4.42,10.83,5.08,0.07,4.42,24.9,1.32,13.18,1.51,3.58,76,1.09,2.62,0.66,64,0.47,80,4.9,0.09,2.73,0.44,0.45,25.33,99,4.86,2.92,0.56,0.47,0.09,0,0.28,0.75,0,33,0.19,67,0.09
Deji Oshilaja,Mansfield Town,883,Centre Back,32,0.1,0.1,0.08,0.16,0.51,20,60,0,0,0.06,0.1,0,0.06,0.1,0,0,0,0.2,0.1,0.1,50,1.12,0,0.1,0.41,1.43,0.95,5.3,3.66,7.95,3.98,0.11,4.08,24.77,1.53,13.05,1.12,2.55,85,0.83,1.78,0.92,71,0.2,74,3.98,0.1,2.34,0.41,0.45,39.04,99,5.02,2.65,0.1,0.1,0,0,1.33,1.43,0.1,0,0,,0.1
Ricardo Santos,Bolton Wanderers,882,Centre Back,29,0,0,0.08,0.13,0.61,0,17,0,0,0.01,0.31,0,0.01,0.31,0,0,0,0.31,0.2,0.1,67,0.82,0,0.1,0.2,1.43,1.54,5.1,6.01,9.59,5.1,0.1,2.76,23.22,1.43,9.29,1.22,2.65,75,1.74,3.28,1.33,50,0.41,80,4.08,0.1,2.04,0.45,0.46,35.82,99,4.93,2.45,0,0,0,0.1,1.74,1.74,0,,0,,0.1
Joy Mukena,Crawley Town,870,Centre Back,25,0,0,0,,0,,,0,0,0.02,0.1,0,0.02,0.1,0,0,0,0.1,0,0.1,0,0.72,0,0.31,0.31,1.34,1.86,5.17,7.6,11.89,5.59,0.09,5.48,24.36,1.65,14.89,0.93,2.28,90,1.4,3.26,1.03,100,0.1,52,2.79,0.21,2.17,0.36,0.38,50.47,99,4.16,2.59,0.21,0.21,0,0,0.1,0.31,0.21,0,0,,0
Ryan Sweeney,Burton Albion,797,Centre Back,28,0,0,0.08,0.12,0.68,0,0,0,0,0.01,0.11,0,0.01,0.11,0,0,0,0.11,0.11,0,100,1.36,0,0.11,0.23,0.56,0.75,6.67,8.7,10.73,4.29,0.11,5.76,22.43,1.02,11.41,1.47,2.03,81,1.91,2.66,0.56,25,0.34,67,7.23,0,1.13,0.24,0.32,39.66,99,5.31,1.36,0,0,0,0.23,2.26,2.26,0,,0,0,0.23
Tristan Crama,Exeter City,792,Centre Back,23,0.11,0.11,0.06,0.08,0.8,14,14,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0,0.91,0,0.23,0.34,1.71,1.45,6.14,6.39,9.1,4.78,0.05,4.43,23.8,1.36,11.48,1.02,2.73,100,0.96,2.41,1.02,100,0,72,4.43,0,0.8,0.3,0.31,41.39,99,4.66,0.91,0,0,0,0,1.48,1.48,0,,0,0,0
Paudie O'Connor,Lincoln City,790,Centre Back,27,0.23,0.23,0.14,0.11,1.25,18,27,1,0.23,0.04,0.57,0.23,0.04,0.57,0,0,0,0,0,0,,1.94,0,0,0.11,0.91,0.53,7.74,4.33,9,4.21,0.09,3.53,23.82,1.82,11.73,1.48,2.39,93,0.63,1.16,0.91,86,0.11,78,8.31,0,1.71,0.22,0.3,17.43,99,4.76,2.39,0.23,0.23,0,0.91,4.56,4.78,0,0,0.11,33,0.91
